School Code,FCI,Sqft,System,"Total Cost by School, By System",Priority1 Count,Priority2 Count,Priority3 Count,Priority4 Count,Priority1 Cost,Priority2 Cost,Priority3 Cost,Priority4 Cost
CO-1420-2866,0.216577569,65145.9,Plumbing,"$94,350.00 ",,2,,,,"$94,350.00 ",,
CO-1420-2866,0.216577569,65145.9,Roofing,"$92,274.28 ",,,1,,,,"$92,274.28 ",
CO-1420-2866,0.216577569,65145.9,Site,"$882,178.94 ",,1,4,2,,"$146,520.00 ","$631,675.79 ","$103,983.15 "
CO-1420-2866,0.216577569,65145.9,Specialties,"$30,834.29 ",,,,5,,,,"$30,834.29 "
CO-1420-2866,0.216577569,65145.9,Stairs and Elevators,$333.16 ,,,,1,,,,$333.16 
CO-1420-2866,0.216577569,65145.9,Structure,"$3,713.07 ",,,,1,,,,"$3,713.07 "
CO-1420-3216,0.19195154,45919.93,Electrical,"$352,596.73 ",1,2,1,,"$277,500.00 ","$73,431.73 ","$1,665.00 ",
CO-1420-3216,0.19195154,45919.93,Exterior,"$60,868.09 ",,,1,,,,"$60,868.09 ",
CO-1420-3216,0.19195154,45919.93,HVAC,"$905,437.08 ",1,1,3,,"$166,500.00 ","$277,500.00 ","$461,437.08 ",
CO-1420-3216,0.19195154,45919.93,Interior,"$1,346,908.02 ",,,3,8,,,"$197,617.55 ","$1,149,290.47 "
CO-1420-3216,0.19195154,45919.93,Other,"$4,440.00 ",,,2,,,,"$4,440.00 ",
CO-1420-3216,0.19195154,45919.93,Plumbing,"$252,522.94 ",,3,4,,,"$94,902.94 ","$157,620.00 ",
CO-1420-3216,0.19195154,45919.93,Site,"$83,250.00 ",,,1,,,,"$83,250.00 ",
CO-1420-3216,0.19195154,45919.93,Specialties,"$500,739.68 ",,,1,6,,,"$29,532.06 ","$471,207.62 "
CO-1420-8300,0.160571825,45525.66,Electrical,"$213,350.46 ",,4,1,1,,"$203,068.56 ",$875.80 ,"$9,406.10 "
CO-1420-8300,0.160571825,45525.66,Exterior,"$147,630.00 ",,2,,,,"$147,630.00 ",,
CO-1420-8300,0.160571825,45525.66,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
