NEWJeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Notes,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Plumbing,2,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Plumbing,3,Deficiency Data Oct 25,EA,,37014.81,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Plumbing,4,Deficiency Data Oct 25,EA,,51219.94,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Roofing,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Roofing,2,Deficiency Data Oct 25,EA,,700.43,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Roofing,3,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Roofing,4,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Educational Technology,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Educational Technology,2,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Educational Technology,3,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Educational Technology,4,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Site,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Site,2,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Site,3,Deficiency Data Oct 25,EA,,217515.03,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Site,4,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Specialties,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Specialties,2,Deficiency Data Oct 25,EA,,14713.44,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Specialties,3,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Specialties,4,Deficiency Data Oct 25,EA,,57576.47,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Stairs and Elevators,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Stairs and Elevators,2,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Stairs and Elevators,3,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Stairs and Elevators,4,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Structural,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Structural,2,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Structural,3,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Structural,4,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Structure,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Structure,2,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Structure,3,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Structure,4,Deficiency Data Oct 25,EA,,None,,
103,CO-1420-0779,Bergen Valley ES,00_general,ADA compliance,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,Demolition,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,New Construction ES,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,New Construction HS,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,New Construction K-8,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,01_new construction,New Construction MS,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,02_gut & renovation,Gut & Major Renovation ES,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,02_gut & renovation,Gut & Major Renovation HS,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,02_gut & renovation,Gut & Major Renovation K-8,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,02_gut & renovation,Gut & Major Renovation MS,,,EA,,,,
103,CO-1420-0779,Bergen Valley ES,03_addition,New 2-story building,,,EA,,,,
