UniqueID,Building Name,Status,Include_Flow_Chart,School Level,Capacity,Enrollment,Available Seats,Utilization,Future_EnrollmentGrowth,DistanceUnderutilizedschools,BuildingTreshhold,EducationalAdequacy,Below50PCTL_EA_Cat,DepartmentalDeficiency,SiteCapacity,Scorecard, SquareFt ,BuildingScore,RecentInvestments
CO-1420-5623,Long View High School,Active,Yes,Alternative,167,20,147,0.119760479,0,3.5,2.066666667,,Yes,,No,3,"6,808",1,No
CO-1420-5972,Molholm Elementary,Closed,No,Elementary,454,0,454,0,,3.5,2.066666667,0.411922906,Yes,,No,3,"46,524",1,No
CO-1420-1730,Jefferson Academy at Coal Creek Canyon,Active,No,Charter,0,68,-68,0,,3.5,2.066666667,,,,No,3,"25,361",1,No
CO-1420-9154,New Classical Academy at Vivian,Closed,No,Elementary,302,0,302,0,,3.5,2.066666667,,,,No,3,"33,138",4,No
CO-1420-8276,Stober Elementary,Active,Yes,Elementary,454,348,106,0.766519824,-0.067173502,3.5,2.066666667,0.700500284,Yes,,No,3,"32,633",3,Yes
CO-1420-7282,Red Rocks Elementary,Active,Yes,Elementary,324,292,32,0.901234568,0.062271062,3.5,2.066666667,0.63038586,Yes,,No,3,"29,176",4,No
CO-1420-1244,Campbell Early Learning Center,Active,No,Option,312,198,114,0.634615385,0.076923077,3.5,2.066666667,0.60932988,Yes,,No,3,"43,487",4,Yes
CO-1420-3088,Foster Dual Language PK-8,Active,Yes,Option,454,454,0,1,0.033970276,3.5,2.066666667,0.719928025,Yes,,No,3,"42,486",3,Yes
CO-1420-7962,Slater Elementary,Active,Yes,Elementary,310,280,30,0.903225806,-0.008387186,3.5,2.066666667,0.58944212,Yes,,No,3,"46,085",1,Yes
CO-1420-4802,Kullerstrand Elementary,Closed,No,Elementary,302,0,302,0,,0.16,1.25,0.587465359,Yes,,No,4,"35,533",2,No
CO-1420-6806,Parr Elementary,Closed,No,Elementary,302,0,302,0,,0.73,1.654761905,0.495508931,Yes,,No,2,"33,602",3,No
CO-1420-9052,Van Arsdale Elementary,Active,Yes,Elementary,583,492,91,0.843910806,-0.159270318,0.53,1.800595238,0.595640046,Yes,,No,3,"50,511",1,No
CO-1420-1790,Colorow Elementary,Closed,No,Elementary,475,0,475,0,,0.47,1.5,0.51803196,Yes,,No,2,"44,227",2,Yes
CO-1420-7190,Prospect Valley Elementary,Active,Yes,Elementary,562,583,-21,1.037366548,0.078201124,1.28,1.782738095,0.82813198,No,,Yes,3,"46,229",9,Yes
CO-1420-3622,Green Gables Elementary,Active,Yes,Elementary,346,315,31,0.910404624,-0.058776752,0.51,1.758928571,0.520478478,Yes,,No,3,"36,920",1,No
CO-1420-5580,Marshdale Elementary,Active,Yes,Elementary,396,375,21,0.946969697,0.038834951,0.78,1.895833333,0.873463059,No,,Yes,3,"44,120",9,Yes
CO-1420-7468,Rose Stein International Elementary,Active,Yes,Elementary,468,336,132,0.717948718,0.043648757,0.28,1.776785714,0.615164226,Yes,,Yes,3,"47,094",1,No
CO-1420-6848,Peak Expeditionary at Pennington,Active,Yes,Elementary,331,316,15,0.954682779,-0.105493929,2.42,1.892857143,0.629762251,Yes,,Yes,2,"36,877",3,Yes
CO-1420-0499,Jeffco Transition Services,Active,Yes,Alternative,95,116,-21,1.221052632,0,0.54,1.392857143,,,,No,3, -   ,1,Yes
CO-1420-5222,Little Elementary,Active,Yes,Elementary,410,310,100,0.756097561,-0.053730715,0.47,1.75,0.554105843,Yes,,No,3,"40,712",1,No
